time,P,G(i),H_sun,T2m,WS10m,Int
20230624:1710,48.87,76.01,14.78,18.33,4.34,0.0
20230624:1810,5.16,16.24,5.53,18.01,4.14,0.0
20230624:1910,0.0,0.0,0.0,17.6,3.45,0.0
20230624:2010,0.0,0.0,0.0,17.34,3.1,0.0
20230624:2110,0.0,0.0,0.0,17.13,2.76,0.0
20230624:2210,0.0,0.0,0.0,16.88,2.83,0.0
20230624:2310,0.0,0.0,0.0,16.72,2.97,0.0
20230625:0010,0.0,0.0,0.0,16.61,3.1,0.0
20230625:0110,0.0,0.0,0.0,16.28,3.1,0.0
20230625:0210,0.0,0.0,0.0,16.08,2.97,0.0
20230625:0310,0.0,0.0,0.0,15.94,2.97,0.0
20230625:0410,37.0,61.34,9.71,16.0,2.9,0.0
20230625:0510,139.68,200.61,19.27,17.01,2.62,0.0
20230625:0610,329.86,419.51,29.27,18.42,3.38,0.0
20230625:0710,501.76,621.85,39.38,19.45,4.07,0.0
20230625:0810,627.9,786.37,49.17,20.58,4.14,0.0
20230625:0910,727.57,926.32,57.92,21.64,4.21,0.0
20230625:1010,755.47,972.4,64.17,22.45,4.14,0.0
20230625:1110,702.87,905.56,65.72,23.03,4.0,0.0
20230625:1210,729.67,943.35,61.74,23.4,3.86,0.0
20230625:1310,659.02,844.43,54.09,23.78,3.93,0.0
20230625:1410,569.86,723.32,44.74,23.78,3.93,0.0
20230625:1510,412.3,525.27,34.74,23.73,3.79,0.0
20230625:1610,231.53,315.05,24.64,23.21,3.31,0.0
20230625:1710,71.56,129.39,14.8,22.61,2.9,0.0
20230625:1810,15.52,32.49,5.54,21.48,2.76,0.0
20230625:1910,0.0,0.0,0.0,20.49,1.79,0.0
20230625:2010,0.0,0.0,0.0,19.29,1.93,0.0
20230625:2110,0.0,0.0,0.0,18.24,1.93,0.0
20230625:2210,0.0,0.0,0.0,17.39,1.93,0.0
20230625:2310,0.0,0.0,0.0,16.56,1.86,0.0
20230626:0010,0.0,0.0,0.0,16.18,1.79,0.0
20230626:0110,0.0,0.0,0.0,15.55,1.79,0.0
20230626:0210,0.0,0.0,0.0,14.97,1.79,0.0
20230626:0310,0.0,0.0,0.0,14.47,1.72,0.0
20230626:0410,36.36,61.63,9.66,14.82,1.52,0.0
20230626:0510,141.36,209.18,19.22,16.64,1.03,0.0
20230626:0610,323.05,420.12,29.22,19.92,1.1,0.0
20230626:0710,490.87,624.84,39.33,21.13,1.86,0.0
20230626:0810,611.38,789.81,49.12,22.12,1.93,0.0
20230626:0910,703.28,922.02,57.87,23.19,2.34,0.0
20230626:1010,732.59,966.97,64.13,23.73,2.55,0.0
20230626:1110,653.78,858.78,65.69,24.17,2.48,0.0
20230626:1210,728.19,961.57,61.73,24.95,2.83,0.0
20230626:1310,663.39,870.71,54.1,25.05,2.48,0.0
20230626:1410,546.11,708.85,44.76,25.31,2.28,0.0
20230626:1510,399.97,520.78,34.76,25.11,1.72,0.0
20230626:1610,221.07,305.53,24.65,24.97,1.24,0.0
20230626:1710,71.3,129.57,14.81,24.59,0.34,0.0
20230626:1810,15.34,32.49,5.55,23.36,0.69,0.0
20230626:1910,0.0,0.0,0.0,22.16,2.14,0.0
20230626:2010,0.0,0.0,0.0,21.01,2.21,0.0
20230626:2110,0.0,0.0,0.0,20.22,2.28,0.0
20230626:2210,0.0,0.0,0.0,19.69,2.34,0.0
20230626:2310,0.0,0.0,0.0,19.39,2.34,0.0
20230627:0010,0.0,0.0,0.0,19.12,2.34,0.0
20230627:0110,0.0,0.0,0.0,18.89,2.21,0.0
20230627:0210,0.0,0.0,0.0,18.94,2.34,0.0
20230627:0310,0.0,0.0,0.0,19.33,2.9,0.0
20230627:0410,1.65,9.76,9.6,19.47,2.83,0.0
20230627:0510,26.07,46.83,19.16,20.02,2.97,0.0
20230627:0610,71.5,104.4,29.16,20.57,2.9,0.0
20230627:0710,297.39,376.36,39.27,21.28,4.0,0.0
20230627:0810,69.91,102.44,49.06,20.76,3.66,0.0
20230627:0910,73.91,107.32,57.81,20.74,3.79,0.0
20230627:1010,103.35,142.45,64.08,19.8,3.59,0.0
20230627:1110,73.47,106.35,65.66,19.84,4.14,0.0
20230627:1210,102.65,141.47,61.72,19.54,3.45,0.0
20230627:1310,134.86,180.5,54.1,20.11,3.24,0.0
20230627:1410,266.35,338.75,44.76,20.02,2.76,0.0
20230627:1510,136.28,182.46,34.77,19.81,2.0,0.0
20230627:1610,62.87,93.66,24.66,20.13,2.41,0.0
20230627:1710,22.43,41.95,14.82,20.1,2.28,0.0
20230627:1810,6.25,18.15,5.55,19.26,1.45,0.0
20230627:1910,0.0,0.0,0.0,17.62,0.97,0.0
20230627:2010,0.0,0.0,0.0,17.0,1.03,0.0
20230627:2110,0.0,0.0,0.0,16.18,1.31,0.0
20230627:2210,0.0,0.0,0.0,15.46,1.52,0.0
20230627:2310,0.0,0.0,0.0,14.67,1.45,0.0
20230628:0010,0.0,0.0,0.0,14.41,1.24,0.0
20230628:0110,0.0,0.0,0.0,14.46,1.24,0.0
20230628:0210,0.0,0.0,0.0,14.72,1.59,0.0
20230628:0310,0.0,0.0,0.0,14.6,1.72,0.0
20230628:0410,1.72,9.76,9.54,14.34,1.79,0.0
20230628:0510,18.04,35.12,19.1,14.3,1.52,0.0
20230628:0610,199.35,254.48,29.1,14.84,1.17,0.0
20230628:0710,356.15,442.51,39.2,14.69,1.03,0.0
20230628:0810,625.72,781.15,49.0,16.63,2.48,0.0
20230628:0910,738.19,942.47,57.75,17.98,2.55,0.0
20230628:1010,769.89,996.52,64.03,18.78,2.41,0.0
20230628:1110,695.19,893.09,65.63,19.42,2.62,0.0
20230628:1210,677.1,864.72,61.71,20.17,3.1,0.0
20230628:1310,678.91,862.07,54.1,20.43,3.31,0.0
20230628:1410,549.28,690.0,44.77,20.52,3.17,0.0
20230628:1510,304.9,386.61,34.77,20.89,3.24,0.0
20230628:1610,231.16,309.65,24.67,20.87,3.38,0.0
20230628:1710,78.39,129.2,14.82,20.18,2.34,0.0
20230628:1810,15.03,31.53,5.55,19.3,1.93,0.0
20230628:1910,0.0,0.0,0.0,17.69,1.03,0.0
20230628:2010,0.0,0.0,0.0,16.97,1.38,0.0
20230628:2110,0.0,0.0,0.0,15.89,1.59,0.0
20230628:2210,0.0,0.0,0.0,15.59,1.45,0.0
20230628:2310,0.0,0.0,0.0,15.12,1.52,0.0
20230629:0010,0.0,0.0,0.0,15.03,1.45,0.0
20230629:0110,0.0,0.0,0.0,14.69,1.52,0.0
20230629:0210,0.0,0.0,0.0,14.07,1.59,0.0
20230629:0310,0.0,0.0,0.0,13.53,1.59,0.0
20230629:0410,34.29,58.66,9.47,13.03,1.38,0.0
20230629:0510,141.87,210.62,19.03,15.18,0.76,0.0
20230629:0610,325.37,420.87,29.03,18.01,0.76,0.0
20230629:0710,494.51,627.08,39.14,19.3,1.45,0.0
20230629:0810,624.98,807.46,48.93,20.31,1.45,0.0
20230629:0910,705.97,931.48,57.68,21.26,1.45,0.0
20230629:1010,745.36,1002.67,63.96,22.09,1.24,0.0
20230629:1110,580.79,770.45,65.58,22.81,0.9,0.0
20230629:1210,655.11,883.27,61.68,23.09,0.69,0.0
20230629:1310,623.46,827.78,54.09,23.43,1.03,0.0
20230629:1410,515.47,671.85,44.77,23.6,1.17,0.0
20230629:1510,392.14,506.81,34.77,23.52,1.66,0.0
20230629:1610,228.91,312.43,24.67,23.33,2.0,0.0
20230629:1710,72.96,131.53,14.82,22.72,1.79,0.0
20230629:1810,14.18,30.58,5.54,21.58,1.59,0.0
20230629:1910,0.0,0.0,0.0,20.12,2.0,0.0
20230629:2010,0.0,0.0,0.0,18.89,2.0,0.0
20230629:2110,0.0,0.0,0.0,17.97,2.0,0.0
20230629:2210,0.0,0.0,0.0,17.32,2.0,0.0
20230629:2310,0.0,0.0,0.0,16.84,2.0,0.0
20230630:0010,0.0,0.0,0.0,16.27,2.07,0.0
20230630:0110,0.0,0.0,0.0,15.9,2.07,0.0
20230630:0210,0.0,0.0,0.0,15.47,2.0,0.0
20230630:0310,0.0,0.0,0.0,15.11,1.93,0.0
20230630:0410,34.38,58.5,9.4,15.21,1.79,0.0
20230630:0510,136.45,201.53,18.96,16.66,1.45,0.0
20230630:0610,305.69,394.25,28.96,19.02,1.66,0.0
20230630:0710,445.32,566.69,39.07,20.45,1.38,0.0
20230630:0810,592.08,762.3,48.86,21.94,1.93,0.0
20230630:0910,684.83,895.97,57.61,23.13,2.28,0.0
20230630:1010,752.72,997.99,63.9,24.13,2.55,0.0
20230630:1110,0.0,0.0,0.0,24.88,2.76,0.0
20230630:1210,722.38,953.91,61.65,25.51,2.97,0.0
20230630:1310,654.9,854.35,54.08,25.98,3.24,0.0
20230630:1410,540.75,695.42,44.76,25.83,3.38,0.0
20230630:1510,378.2,487.88,34.77,25.86,3.45,0.0
20230630:1610,217.72,298.14,24.66,25.53,3.24,0.0
20230630:1710,73.11,114.25,14.81,24.91,2.41,0.0
20230630:1810,13.37,29.62,5.53,23.71,1.79,0.0
20230630:1910,0.0,0.0,0.0,22.15,0.9,0.0
20230630:2010,0.0,0.0,0.0,21.09,0.62,0.0
20230630:2110,0.0,0.0,0.0,19.92,0.83,0.0
20230630:2210,0.0,0.0,0.0,19.37,1.79,0.0
20230630:2310,0.0,0.0,0.0,18.67,2.14,0.0
20230701:0010,0.0,0.0,0.0,18.27,2.34,0.0
20230701:0110,0.0,0.0,0.0,17.8,2.28,0.0
20230701:0210,0.0,0.0,0.0,17.59,1.93,0.0
20230701:0310,0.0,0.0,0.0,17.37,1.93,0.0
20230701:0410,21.92,40.91,9.32,17.37,2.14,0.0
20230701:0510,105.4,147.65,18.88,17.96,2.0,0.0
20230701:0610,162.07,212.31,28.88,18.41,2.34,0.0
20230701:0710,359.96,453.63,38.99,19.78,2.21,0.0
20230701:0810,438.11,552.29,48.78,20.35,2.55,0.0
20230701:0910,510.08,647.36,57.53,21.16,2.83,0.0
20230701:1010,497.4,633.58,63.82,21.81,2.97,0.0
20230701:1110,305.56,391.6,65.47,22.22,2.83,0.0
20230701:1210,284.92,366.49,61.62,22.68,2.9,0.0
20230701:1310,104.61,146.35,54.06,23.38,2.9,0.0
20230701:1410,67.72,100.49,44.74,22.34,3.03,0.0
20230701:1510,91.2,128.79,34.76,21.39,3.1,0.0
20230701:1610,185.13,246.2,24.65,20.63,2.97,0.0
20230701:1710,75.61,115.98,14.8,20.14,2.41,0.0
20230701:1810,1.12,8.6,5.51,19.84,2.21,0.0
20230701:1910,0.0,0.0,0.0,19.13,1.93,0.0
20230701:2010,0.0,0.0,0.0,18.5,2.0,0.0
20230701:2110,0.0,0.0,0.0,18.07,2.07,0.0
20230701:2210,0.0,0.0,0.0,17.87,2.14,0.0
20230701:2310,0.0,0.0,0.0,17.6,2.14,0.0
20230702:0010,0.0,0.0,0.0,17.3,2.07,0.0
20230702:0110,0.0,0.0,0.0,17.04,2.0,0.0
20230702:0210,0.0,0.0,0.0,17.07,1.79,0.0
20230702:0310,0.0,0.0,0.0,16.86,1.79,0.0
20230702:0410,33.62,57.19,9.24,16.68,1.72,0.0
20230702:0510,26.35,46.83,18.8,17.79,1.72,0.0
20230702:0610,79.83,114.15,28.8,19.46,2.21,0.0
20230702:0710,282.72,360.18,38.91,19.48,1.38,0.0
20230702:0810,293.52,374.71,48.7,20.53,1.86,0.0
20230702:0910,598.21,768.38,57.45,21.54,2.41,0.0
20230702:1010,277.64,358.06,63.74,22.7,2.62,0.0
20230702:1110,403.07,515.91,65.4,22.85,2.83,0.0
20230702:1210,676.06,875.37,61.57,23.48,3.31,0.0
20230702:1310,643.85,829.03,54.03,23.51,3.17,0.0
20230702:1410,551.33,703.71,44.73,24.0,3.24,0.0
20230702:1510,363.06,464.55,34.74,24.13,3.52,0.0
20230702:1610,213.09,288.2,24.63,23.62,3.31,0.0
20230702:1710,76.75,121.12,14.78,22.8,2.62,0.0
20230702:1810,7.9,21.02,5.49,21.78,2.34,0.0
20230702:1910,0.0,0.0,0.0,20.64,1.52,0.0
20230702:2010,0.0,0.0,0.0,19.23,1.31,0.0
20230702:2110,0.0,0.0,0.0,17.83,1.1,0.0
20230702:2210,0.0,0.0,0.0,16.98,1.1,0.0
20230702:2310,0.0,0.0,0.0,16.11,1.38,0.0
20230703:0010,0.0,0.0,0.0,15.56,1.59,0.0
20230703:0110,0.0,0.0,0.0,14.92,1.52,0.0
20230703:0210,0.0,0.0,0.0,14.58,1.52,0.0
20230703:0310,0.0,0.0,0.0,14.08,1.52,0.0
20230703:0410,1.26,8.78,9.15,14.69,1.24,0.0
20230703:0510,81.62,116.07,18.72,16.6,0.83,0.0
20230703:0610,49.75,77.08,28.72,18.67,0.55,0.0
20230703:0710,80.42,115.13,38.83,19.64,1.31,0.0
20230703:0810,127.59,172.69,48.62,20.4,1.52,0.0
20230703:0910,426.67,544.89,57.36,21.26,1.93,0.0
20230703:1010,275.71,353.98,63.66,21.09,2.07,0.0
20230703:1110,251.05,324.63,65.33,21.81,2.07,0.0
20230703:1210,472.54,606.99,61.52,21.55,1.79,0.0
20230703:1310,269.66,346.93,54.0,21.07,1.66,0.0
20230703:1410,89.49,126.84,44.7,20.74,1.03,0.0
20230703:1510,258.08,334.85,34.72,20.85,0.34,0.0
20230703:1610,19.45,38.05,24.61,21.18,0.62,0.0
20230703:1710,69.23,105.43,14.75,20.86,0.76,0.0
20230703:1810,11.68,26.75,5.45,20.35,1.17,0.0
20230703:1910,0.0,0.0,0.0,18.88,1.72,0.0
20230703:2010,0.0,0.0,0.0,18.09,1.66,0.0
20230703:2110,0.0,0.0,0.0,17.37,1.72,0.0
20230703:2210,0.0,0.0,0.0,16.72,1.59,0.0
20230703:2310,0.0,0.0,0.0,16.21,1.52,0.0
20230704:0010,0.0,0.0,0.0,16.01,1.52,0.0
20230704:0110,0.0,0.0,0.0,15.77,1.45,0.0
20230704:0210,0.0,0.0,0.0,15.25,1.45,0.0
20230704:0310,0.0,0.0,0.0,15.5,1.31,0.0
20230704:0410,1.24,8.78,9.06,15.8,1.17,0.0
20230704:0510,9.04,22.44,18.63,16.96,0.83,0.0
20230704:0610,133.37,179.03,28.63,18.65,0.55,0.0
20230704:0710,410.81,526.18,38.74,19.73,0.48,0.0
20230704:0810,540.25,700.27,48.53,20.59,0.76,0.0
20230704:0910,606.99,794.77,57.27,21.51,1.17,0.0
20230704:1010,393.46,507.71,63.57,22.67,1.66,0.0
20230704:1110,406.73,527.18,65.25,23.17,1.52,0.0
20230704:1210,64.0,96.59,61.47,23.6,1.38,0.0
20230704:1310,72.63,107.32,53.96,23.51,1.45,0.0
20230704:1410,281.4,364.87,44.67,22.93,1.31,0.0
20230704:1510,314.14,407.34,34.69,23.28,1.24,0.0
20230704:1610,192.48,260.62,24.59,23.17,1.52,0.0
20230704:1710,75.11,116.96,14.72,22.42,1.93,0.0
20230704:1810,14.86,31.53,5.42,21.33,1.52,0.0
20230704:1910,0.0,0.0,0.0,20.65,1.59,0.0
20230704:2010,0.0,0.0,0.0,19.65,1.72,0.0
20230704:2110,0.0,0.0,0.0,19.04,1.72,0.0
20230704:2210,0.0,0.0,0.0,18.41,1.66,0.0
20230704:2310,0.0,0.0,0.0,17.67,1.59,0.0
20230705:0010,0.0,0.0,0.0,17.13,1.59,0.0
20230705:0110,0.0,0.0,0.0,16.44,1.45,0.0
20230705:0210,0.0,0.0,0.0,16.0,1.38,0.0
20230705:0310,0.0,0.0,0.0,15.39,1.45,0.0
20230705:0410,2.19,10.73,8.97,15.48,1.45,0.0
20230705:0510,132.03,199.07,18.54,17.22,1.38,0.0
20230705:0610,308.42,399.11,28.54,19.57,1.86,0.0
20230705:0710,0.0,0.0,0.0,20.91,3.03,0.0
20230705:0810,616.24,782.69,48.43,21.95,3.24,0.0
20230705:0910,708.39,916.44,57.18,22.56,3.03,0.0
20230705:1010,747.41,981.89,63.47,23.43,2.83,0.0
20230705:1110,705.08,930.32,65.17,24.38,2.62,0.0
20230705:1210,597.35,780.89,61.4,25.03,2.62,0.0
20230705:1310,591.15,768.95,53.91,25.38,2.83,0.0
20230705:1410,358.64,463.26,44.64,25.49,2.76,0.0
20230705:1510,215.01,282.58,34.66,24.31,2.41,0.0
20230705:1610,43.28,70.25,24.55,23.79,2.34,0.0
20230705:1710,28.52,50.73,14.69,23.11,1.86,0.0
20230705:1810,1.09,8.6,5.38,22.38,1.72,0.0
20230705:1910,0.0,0.0,0.0,19.55,1.31,0.0
20230705:2010,0.0,0.0,0.0,18.9,1.72,0.0
20230705:2110,0.0,0.0,0.0,18.61,2.0,0.0
20230705:2210,0.0,0.0,0.0,17.95,2.41,0.0
20230705:2310,0.0,0.0,0.0,17.3,2.55,0.0
20230706:0010,0.0,0.0,0.0,16.88,2.48,0.0
20230706:0110,0.0,0.0,0.0,16.52,2.55,0.0
20230706:0210,0.0,0.0,0.0,16.18,2.62,0.0
20230706:0310,0.0,0.0,0.0,16.23,2.48,0.0
20230706:0410,1.24,8.78,8.87,16.39,2.41,0.0
20230706:0510,14.29,30.25,18.44,17.41,2.48,0.0
20230706:0610,149.61,197.16,28.45,18.48,2.9,0.0
20230706:0710,417.34,519.37,38.55,17.72,2.34,0.0
20230706:0810,610.87,765.66,48.34,18.75,2.9,0.0
20230706:0910,669.5,854.87,57.07,20.74,3.03,0.0
20230706:1010,584.13,748.97,63.36,21.93,2.9,0.0
20230706:1110,338.53,433.45,65.07,22.77,3.03,0.0
20230706:1210,232.82,302.96,61.33,23.09,2.76,0.0
20230706:1310,597.36,770.53,53.86,23.2,2.62,0.0
20230706:1410,505.15,645.54,44.6,23.2,2.55,0.0
20230706:1510,327.95,421.68,34.62,23.59,2.55,0.0
20230706:1610,158.84,214.98,24.52,23.07,2.21,0.0
20230706:1710,49.27,77.99,14.64,22.59,1.93,0.0
20230706:1810,2.45,11.47,5.33,21.57,1.59,0.0
20230706:1910,0.0,0.0,0.0,20.09,1.31,0.0
20230706:2010,0.0,0.0,0.0,19.1,1.52,0.0
20230706:2110,0.0,0.0,0.0,18.12,1.72,0.0
20230706:2210,0.0,0.0,0.0,17.28,1.66,0.0
20230706:2310,0.0,0.0,0.0,16.66,1.59,0.0
20230707:0010,0.0,0.0,0.0,16.41,1.52,0.0
20230707:0110,0.0,0.0,0.0,16.15,1.52,0.0
20230707:0210,0.0,0.0,0.0,16.03,1.59,0.0
20230707:0310,0.0,0.0,0.0,15.8,1.66,0.0
20230707:0410,28.98,50.0,8.77,15.56,1.59,0.0
20230707:0510,124.11,177.39,18.34,16.89,1.24,0.0
20230707:0610,214.29,278.0,28.35,19.23,1.59,0.0
20230707:0710,464.02,587.73,38.46,19.89,1.66,0.0
20230707:0810,613.03,784.6,48.24,20.88,2.14,0.0
20230707:0910,707.43,924.06,56.97,22.21,2.28,0.0
20230707:1010,762.14,1008.17,63.25,23.17,2.48,0.0
20230707:1110,755.65,997.84,64.97,23.89,2.83,0.0
20230707:1210,730.66,960.47,61.26,24.53,3.03,0.0
20230707:1310,675.19,881.45,53.8,24.97,2.97,0.0
20230707:1410,550.39,710.51,44.55,25.2,2.76,0.0
20230707:1510,403.38,521.41,34.58,25.2,2.62,0.0
20230707:1610,227.51,312.34,24.47,25.07,2.48,0.0
20230707:1710,72.07,129.89,14.6,24.51,1.79,0.0
20230707:1810,14.05,30.58,5.27,23.23,1.59,0.0
20230707:1910,0.0,0.0,0.0,21.82,0.97,0.0
20230707:2010,0.0,0.0,0.0,19.65,1.24,0.0
20230707:2110,0.0,0.0,0.0,18.44,1.31,0.0
20230707:2210,0.0,0.0,0.0,18.81,1.03,0.0
20230707:2310,0.0,0.0,0.0,19.97,0.28,0.0
20230708:0010,0.0,0.0,0.0,19.52,0.76,0.0
20230708:0110,0.0,0.0,0.0,16.81,1.31,0.0
20230708:0210,0.0,0.0,0.0,15.11,1.66,0.0
20230708:0310,0.0,0.0,0.0,14.41,1.66,0.0
20230708:0410,30.65,52.33,8.67,14.37,1.45,0.0
20230708:0510,130.44,197.95,18.24,16.9,0.55,0.0
20230708:0610,307.38,403.13,28.25,19.95,0.55,0.0
20230708:0710,451.6,579.93,38.35,21.58,1.17,0.0
20230708:0810,608.35,792.73,48.13,22.98,1.66,0.0
20230708:0910,665.28,876.3,56.86,24.21,2.14,0.0
20230708:1010,759.28,1019.18,63.14,25.15,2.28,0.0
20230708:1110,741.12,996.91,64.87,25.86,2.28,0.0
20230708:1210,687.93,919.77,61.17,26.4,2.28,0.0
20230708:1310,665.41,886.52,53.74,26.68,2.14,0.0
20230708:1410,536.21,703.4,44.5,26.9,2.07,0.0
20230708:1510,399.83,523.89,34.53,26.91,2.0,0.0
20230708:1610,227.15,314.34,24.42,26.45,2.21,0.0
20230708:1710,72.2,130.37,14.54,25.5,1.86,0.0
20230708:1810,13.97,30.58,5.21,24.27,1.72,0.0
20230708:1910,0.0,0.0,0.0,22.8,1.79,0.0
20230708:2010,0.0,0.0,0.0,21.27,1.72,0.0
20230708:2110,0.0,0.0,0.0,19.93,1.59,0.0
20230708:2210,0.0,0.0,0.0,18.98,1.52,0.0
20230708:2310,0.0,0.0,0.0,18.19,1.52,0.0
20230709:0010,0.0,0.0,0.0,17.55,1.45,0.0
20230709:0110,0.0,0.0,0.0,16.99,1.38,0.0
20230709:0210,0.0,0.0,0.0,16.71,1.38,0.0
20230709:0310,0.0,0.0,0.0,16.29,1.45,0.0
20230709:0410,27.34,47.97,8.56,16.37,1.31,0.0
20230709:0510,125.6,189.45,18.14,18.57,0.76,0.0
20230709:0610,291.85,386.88,28.14,21.8,0.34,0.0
20230709:0710,453.45,594.63,38.25,23.43,0.34,0.0
20230709:0810,576.28,769.5,48.02,24.9,0.62,0.0
20230709:0910,672.73,917.77,56.74,26.12,0.9,0.0
20230709:1010,700.44,966.51,63.02,27.2,1.03,0.0
20230709:1110,727.09,1004.87,64.76,27.63,1.31,0.0
20230709:1210,703.8,966.13,61.08,28.33,1.52,0.0
20230709:1310,643.18,870.83,53.67,28.78,1.66,0.0
20230709:1410,524.89,699.01,44.44,29.06,1.66,0.0
20230709:1510,380.86,506.02,34.48,29.05,1.59,0.0
20230709:1610,215.15,302.36,24.37,28.81,1.31,0.0
20230709:1710,71.78,127.57,14.49,28.19,0.69,0.0
20230709:1810,13.08,29.62,5.15,27.46,0.21,0.0
20230709:1910,0.0,0.0,0.0,25.04,2.07,0.0
20230709:2010,0.0,0.0,0.0,23.38,2.21,0.0
20230709:2110,0.0,0.0,0.0,22.39,2.41,0.0
20230709:2210,0.0,0.0,0.0,21.6,2.41,0.0
20230709:2310,0.0,0.0,0.0,20.86,2.34,0.0
20230710:0010,0.0,0.0,0.0,20.25,2.28,0.0
20230710:0110,0.0,0.0,0.0,19.64,2.21,0.0
20230710:0210,0.0,0.0,0.0,19.08,2.14,0.0
20230710:0310,0.0,0.0,0.0,18.61,2.14,0.0
20230710:0410,4.21,14.63,8.44,18.52,2.0,0.0
20230710:0510,118.79,174.07,18.03,20.15,1.72,0.0
20230710:0610,279.14,369.59,28.03,23.69,1.52,0.0
20230710:0710,445.01,580.85,38.14,26.55,1.86,0.0
20230710:0810,565.57,756.91,47.91,28.42,1.45,0.0
20230710:0910,642.73,887.47,56.62,29.77,1.03,0.0
20230710:1010,684.01,962.68,62.89,30.84,0.97,0.0
20230710:1110,639.38,893.42,64.64,31.66,1.17,0.0
20230710:1210,274.08,372.68,60.99,32.15,1.38,0.0
20230710:1310,397.62,539.7,53.6,32.5,1.31,0.0
20230710:1410,64.09,100.49,44.38,32.4,0.83,0.0
20230710:1510,69.76,107.32,34.42,31.52,1.66,0.0
20230710:1610,53.21,83.91,24.31,26.29,1.38,0.0
20230710:1710,74.0,119.94,14.42,25.11,1.03,0.0
20230710:1810,3.38,13.38,5.08,24.42,1.24,0.0
20230710:1910,0.0,0.0,0.0,23.68,1.66,0.0
20230710:2010,0.0,0.0,0.0,22.54,2.0,0.0
20230710:2110,0.0,0.0,0.0,21.94,2.07,0.0
20230710:2210,0.0,0.0,0.0,21.68,2.14,0.0
20230710:2310,0.0,0.0,0.0,21.75,2.28,0.0
20230711:0010,0.0,0.0,0.0,21.79,2.14,0.0
20230711:0110,0.0,0.0,0.0,21.47,2.14,0.0
20230711:0210,0.0,0.0,0.0,21.2,2.14,0.0
20230711:0310,0.0,0.0,0.0,20.6,2.07,0.0
20230711:0410,26.69,47.78,8.32,20.45,1.93,0.0
20230711:0510,109.34,158.9,17.91,21.27,1.79,0.0
20230711:0610,245.43,321.97,27.92,22.96,2.55,0.0
20230711:0710,410.75,526.51,38.03,24.31,2.62,0.0
20230711:0810,548.06,710.1,47.79,25.31,2.55,0.0
20230711:0910,648.35,861.5,56.5,26.29,2.07,0.0
20230711:1010,708.17,970.28,62.76,27.01,1.31,0.0
20230711:1110,703.78,984.69,64.51,27.5,0.62,0.0
20230711:1210,664.45,936.5,60.89,28.37,0.21,0.0
20230711:1310,612.03,839.81,53.52,28.88,0.76,0.0
20230711:1410,509.67,679.94,44.31,29.17,1.45,0.0
20230711:1510,376.94,500.18,34.36,29.0,1.66,0.0
20230711:1610,217.34,305.01,24.25,28.77,2.07,0.0
20230711:1710,70.41,124.97,14.35,28.36,1.86,0.0
20230711:1810,0.0,3.82,5.0,27.3,1.52,0.0
20230711:1910,0.0,0.0,0.0,25.92,2.07,0.0
20230711:2010,0.0,0.0,0.0,24.87,2.14,0.0
20230711:2110,0.0,0.0,0.0,24.12,2.07,0.0
20230711:2210,0.0,0.0,0.0,23.59,2.0,0.0
20230711:2310,0.0,0.0,0.0,23.0,2.07,0.0
20230712:0010,0.0,0.0,0.0,22.55,2.0,0.0
20230712:0110,0.0,0.0,0.0,21.99,2.0,0.0
20230712:0210,0.0,0.0,0.0,21.4,2.07,0.0
20230712:0310,0.0,0.0,0.0,20.89,1.79,0.0
20230712:0410,2.47,11.47,8.2,20.53,1.59,0.0
20230712:0510,25.11,45.86,17.79,21.52,1.24,0.0
20230712:0610,69.37,103.42,27.81,23.69,1.03,0.0
20230712:0710,343.3,447.52,37.91,24.55,0.97,0.0
20230712:0810,580.41,757.36,47.67,26.0,2.41,0.0
20230712:0910,654.66,872.97,56.37,27.01,2.14,0.0
20230712:1010,491.7,658.27,62.62,28.28,1.38,0.0
20230712:1110,686.72,955.89,64.38,29.35,1.1,0.0
20230712:1210,526.28,721.45,60.78,30.22,0.76,0.0
20230712:1310,509.65,696.22,53.43,30.59,0.76,0.0
20230712:1410,419.31,566.65,44.23,30.49,0.62,0.0
20230712:1510,243.97,329.01,34.29,29.56,0.97,0.0
20230712:1610,169.26,235.89,24.17,28.3,1.03,0.0
20230712:1710,68.0,125.69,14.28,27.81,0.48,0.0
20230712:1810,12.49,28.67,4.92,26.91,0.48,0.0
20230712:1910,0.0,0.0,0.0,25.15,0.62,0.0
20230712:2010,0.0,0.0,0.0,24.06,1.45,0.0
20230712:2110,0.0,0.0,0.0,22.69,2.14,0.0
20230712:2210,0.0,0.0,0.0,22.27,2.0,0.0
20230712:2310,0.0,0.0,0.0,21.67,1.86,0.0
20230713:0010,0.0,0.0,0.0,21.24,1.72,0.0
20230713:0110,0.0,0.0,0.0,20.96,1.79,0.0
20230713:0210,0.0,0.0,0.0,20.73,1.93,0.0
20230713:0310,0.0,0.0,0.0,19.81,2.07,0.0
20230713:0410,1.56,9.56,8.08,19.02,1.93,0.0
20230713:0510,48.98,76.1,17.67,18.84,1.1,0.0
20230713:0610,296.0,386.34,27.69,19.56,1.1,0.0
20230713:0710,460.74,593.63,37.79,20.56,0.55,0.0
20230713:0810,584.34,768.1,47.55,22.41,0.76,0.0
20230713:0910,682.41,907.7,56.24,23.88,1.52,0.0
20230713:1010,516.9,673.63,62.48,24.7,2.21,0.0
