time,P,G(i),H_sun,T2m,WS10m,Int
20230110:1010,86.52,114.32,19.57,4.44,6.69,0.0
20230110:1110,59.55,83.91,20.49,4.74,6.62,0.0
20230110:1210,50.22,73.17,18.81,4.93,6.28,0.0
20230110:1310,59.8,84.29,14.71,5.0,6.0,0.0
20230110:1410,171.96,215.76,8.59,5.14,5.79,0.0
20230110:1510,0.0,0.0,0.0,5.09,5.86,0.0
20230110:1610,0.0,0.0,0.0,4.72,5.66,0.0
20230110:1710,0.0,0.0,0.0,4.4,5.66,0.0
20230110:1810,0.0,0.0,0.0,4.07,5.66,0.0
20230110:1910,0.0,0.0,0.0,3.98,5.38,0.0
20230110:2010,0.0,0.0,0.0,3.53,4.97,0.0
20230110:2110,0.0,0.0,0.0,3.08,4.62,0.0
20230110:2210,0.0,0.0,0.0,2.73,4.34,0.0
20230110:2310,0.0,0.0,0.0,2.38,4.0,0.0
20230111:0010,0.0,0.0,0.0,2.13,3.72,0.0
20230111:0110,0.0,0.0,0.0,1.86,3.17,0.0
20230111:0210,0.0,0.0,0.0,1.39,2.55,0.0
20230111:0310,0.0,0.0,0.0,0.79,1.86,0.0
20230111:0410,0.0,0.0,0.0,-0.03,1.59,0.0
20230111:0510,0.0,0.0,0.0,-0.82,1.59,0.0
20230111:0610,0.0,0.0,0.0,-1.67,1.45,0.0
20230111:0710,59.37,92.14,3.41,-1.59,1.24,0.0
20230111:0810,280.3,332.77,10.7,-0.66,1.03,0.0
20230111:0910,428.68,502.17,16.28,2.46,0.97,0.0
20230111:1010,484.75,571.82,19.71,4.62,1.03,0.0
20230111:1110,347.34,410.24,20.64,5.92,1.17,0.0
20230111:1210,258.39,309.36,18.97,6.8,1.31,0.0
20230111:1310,373.38,447.77,14.88,7.18,1.1,0.0
20230111:1410,190.25,240.78,8.77,6.35,1.17,0.0
20230111:1510,0.0,0.0,0.0,5.73,1.38,0.0
20230111:1610,0.0,0.0,0.0,4.51,1.59,0.0
20230111:1710,0.0,0.0,0.0,3.68,1.72,0.0
20230111:1810,0.0,0.0,0.0,3.11,1.86,0.0
20230111:1910,0.0,0.0,0.0,3.66,2.0,0.0
20230111:2010,0.0,0.0,0.0,3.78,1.86,0.0
20230111:2110,0.0,0.0,0.0,3.73,1.66,0.0
20230111:2210,0.0,0.0,0.0,3.44,1.59,0.0
20230111:2310,0.0,0.0,0.0,3.59,1.45,0.0
20230112:0010,0.0,0.0,0.0,3.79,1.45,0.0
20230112:0110,0.0,0.0,0.0,3.96,1.38,0.0
20230112:0210,0.0,0.0,0.0,4.02,1.45,0.0
20230112:0310,0.0,0.0,0.0,3.79,1.59,0.0
20230112:0410,0.0,0.0,0.0,3.29,1.45,0.0
20230112:0510,0.0,0.0,0.0,2.51,1.45,0.0
20230112:0610,0.0,0.0,0.0,1.83,1.52,0.0
20230112:0710,73.77,112.36,3.49,1.66,1.52,0.0
20230112:0810,292.95,351.39,10.8,2.02,1.17,0.0
20230112:0910,426.35,507.88,16.4,5.2,0.62,0.0
20230112:1010,500.2,600.3,19.85,7.32,0.83,0.0
20230112:1110,499.76,600.12,20.8,8.38,1.1,0.0
20230112:1210,421.83,504.94,19.15,8.98,1.38,0.0
20230112:1310,387.59,466.39,15.07,9.16,1.79,0.0
20230112:1410,111.07,147.86,8.95,8.56,1.86,0.0
20230112:1510,0.0,0.0,0.0,7.07,2.0,0.0
20230112:1610,0.0,0.0,0.0,5.67,2.14,0.0
20230112:1710,0.0,0.0,0.0,4.86,2.21,0.0
20230112:1810,0.0,0.0,0.0,4.52,2.28,0.0
20230112:1910,0.0,0.0,0.0,4.59,2.28,0.0
20230112:2010,0.0,0.0,0.0,4.5,2.21,0.0
20230112:2110,0.0,0.0,0.0,3.73,2.14,0.0
20230112:2210,0.0,0.0,0.0,3.01,2.07,0.0
20230112:2310,0.0,0.0,0.0,2.51,1.93,0.0
20230113:0010,0.0,0.0,0.0,2.03,1.93,0.0
20230113:0110,0.0,0.0,0.0,1.39,1.86,0.0
20230113:0210,0.0,0.0,0.0,1.11,1.86,0.0
20230113:0310,0.0,0.0,0.0,1.18,1.86,0.0
20230113:0410,0.0,0.0,0.0,1.4,1.86,0.0
20230113:0510,0.0,0.0,0.0,1.74,1.72,0.0
20230113:0610,0.0,0.0,0.0,1.95,1.66,0.0
20230113:0710,2.96,11.71,3.58,2.14,1.72,0.0
20230113:0810,142.14,178.06,10.9,3.06,1.52,0.0
20230113:0910,36.93,57.56,16.53,4.85,1.59,0.0
20230113:1010,77.29,105.37,20.0,6.58,1.72,0.0
20230113:1110,71.82,99.52,20.97,7.73,1.86,0.0
20230113:1210,235.37,284.21,19.33,8.22,1.93,0.0
20230113:1310,102.82,135.21,15.25,8.38,2.07,0.0
20230113:1410,34.52,55.45,9.14,7.8,1.66,0.0
20230113:1510,0.0,0.0,0.0,6.81,1.17,0.0
20230113:1610,0.0,0.0,0.0,6.06,0.48,0.0
20230113:1710,0.0,0.0,0.0,5.13,0.83,0.0
20230113:1810,0.0,0.0,0.0,4.65,0.83,0.0
20230113:1910,0.0,0.0,0.0,3.34,1.31,0.0
20230113:2010,0.0,0.0,0.0,2.8,1.24,0.0
20230113:2110,0.0,0.0,0.0,2.39,1.17,0.0
20230113:2210,0.0,0.0,0.0,1.67,1.38,0.0
20230113:2310,0.0,0.0,0.0,0.96,1.59,0.0
20230114:0010,0.0,0.0,0.0,0.86,1.52,0.0
20230114:0110,0.0,0.0,0.0,0.46,1.59,0.0
20230114:0210,0.0,0.0,0.0,-0.01,1.72,0.0
20230114:0310,0.0,0.0,0.0,-0.58,1.86,0.0
20230114:0410,0.0,0.0,0.0,-1.24,1.86,0.0
20230114:0510,0.0,0.0,0.0,-1.56,1.86,0.0
20230114:0610,0.0,0.0,0.0,-1.68,1.79,0.0
20230114:0710,49.73,78.55,3.67,-1.78,1.52,0.0
20230114:0810,310.64,369.23,11.02,0.18,1.03,0.0
20230114:0910,436.11,516.7,16.66,4.0,0.62,0.0
20230114:1010,508.87,610.18,20.16,6.58,0.69,0.0
20230114:1110,535.42,640.51,21.15,7.69,1.38,0.0
20230114:1210,501.68,599.02,19.52,8.35,1.72,0.0
20230114:1310,397.93,478.54,15.45,8.54,1.45,0.0
20230114:1410,253.66,317.32,9.33,8.12,2.0,0.0
20230114:1510,0.0,2.87,1.64,6.52,2.34,0.0
20230114:1610,0.0,0.0,0.0,4.98,2.55,0.0
20230114:1710,0.0,0.0,0.0,4.29,2.9,0.0
20230114:1810,0.0,0.0,0.0,4.11,3.17,0.0
20230114:1910,0.0,0.0,0.0,4.19,3.72,0.0
20230114:2010,0.0,0.0,0.0,4.14,4.0,0.0
20230114:2110,0.0,0.0,0.0,4.17,4.28,0.0
20230114:2210,0.0,0.0,0.0,3.96,4.21,0.0
20230114:2310,0.0,0.0,0.0,3.98,4.14,0.0
20230115:0010,0.0,0.0,0.0,4.12,4.21,0.0
20230115:0110,0.0,0.0,0.0,4.23,4.21,0.0
20230115:0210,0.0,0.0,0.0,4.0,4.0,0.0
20230115:0310,0.0,0.0,0.0,3.79,4.0,0.0
20230115:0410,0.0,0.0,0.0,3.78,4.0,0.0
20230115:0510,0.0,0.0,0.0,3.53,3.93,0.0
20230115:0610,0.0,0.0,0.0,3.32,3.72,0.0
20230115:0710,15.91,32.55,3.77,3.01,3.31,0.0
20230115:0810,126.16,159.65,11.14,3.62,3.38,0.0
20230115:0910,180.26,217.73,16.81,4.22,3.45,0.0
20230115:1010,143.56,178.15,20.33,5.04,3.38,0.0
20230115:1110,127.47,161.05,21.33,5.94,3.52,0.0
20230115:1210,56.37,80.98,19.71,6.57,3.31,0.0
