,elec,heat
2023-01-01 19:45:00+00:00,0.4797773876048016,0.17158440749272652
2023-01-01 20:00:00+00:00,0.38386174838414716,0.21869651081829936
2023-01-01 20:15:00+00:00,0.4185581502559624,0.15344507471489385
2023-01-01 20:30:00+00:00,0.4557425684146213,0.24638738825142126
2023-01-01 20:45:00+00:00,0.4086005572479083,0.2656760192134441
2023-01-01 21:00:00+00:00,0.41441894786468025,0.13761656593485383
2023-01-01 21:15:00+00:00,0.44415526420796897,0.06047506248293741
2023-01-01 21:30:00+00:00,0.4203089643114278,0.1357693854241064
2023-01-01 21:45:00+00:00,0.3725757495180943,0.1301737098029869
2023-01-01 22:00:00+00:00,0.4579732283446152,0.14617857159060565
2023-01-01 22:15:00+00:00,0.44102775845526243,0.2804068937608407
2023-01-01 22:30:00+00:00,0.46989451231774526,0.22362464629432816
